index,CSVname,well,time,Number of Spikes,Mean Firing Rate (Hz),Number of Active Electrodes,Weighted Mean Firing Rate (Hz),ISI Coefficient of Variation - Avg,Number of Bursts,Number of Bursting Electrodes,Burst Duration - Avg (s),Burst Duration - Std (s),Number of Spikes per Burst - Avg,Number of Spikes per Burst - Std,Mean ISI within Burst - Avg,Mean ISI within Burst - Std,Median ISI within Burst - Avg,Median ISI within Burst - Std,Inter-Burst Interval - Avg (s),Inter-Burst Interval - Std (s),Burst Frequency - Avg (Hz),Burst Frequency - Std (Hz),Normalized Duration IQR - Avg,Normalized Duration IQR - Std,IBI Coefficient of Variation - Avg,IBI Coefficient of Variation - Std,Burst Percentage - Avg,Burst Percentage - Std,Number of Network Bursts,Network Burst Frequency (Hz),Network Burst Duration - Avg (sec),Network Burst Duration - Std (sec),Number of Spikes per Network Burst - Avg,Number of Spikes per Network Burst - Std,Number of Elecs Participating in Burst - Avg,Number of Elecs Participating in Burst - Std,Number of Spikes per Network Burst per Channel - Avg,Number of Spikes per Network Burst per Channel - Std,Network Burst Percentage,Network ISI Coefficient of Variation,Area Under Normalized Cross-Correlation,Area Under Cross-Correlation,Width at Half Height of Normalized Cross-Correlation,Width at Half Height of Cross-Correlation,Synchrony Index,average_connection_strength,connection_density,average_transmission_speed,disease_status
0,4,A1,0-100,1536,1.924812,7,2.192624,1.913384,64,6,0.119662,0.067914,9.494372,8.151508,0.016677,0.004932,0.012806,0.004717,17.152828,20.547122,0.106934,0.093972,0.427514,0.129351,0.89345,0.116019,31.265539,27.27783,10,0.100251,0.46472,0.142715,76,15.231546,7.4,0.516398,10.330357,2.318485,49.479167,2.107287,0.19986,1.647691,26,92,0.414953,249,1,182.4812235,0
1,1,A1,0-100,1370,1.716792,6,2.275689,2.708578,94,6,0.131438,0.055008,9.833785,4.15978,0.016165,0.002941,0.011924,0.003105,7.246776,3.281189,0.157059,0.066094,0.316725,0.268662,0.856781,0.162481,58.749546,30.198637,10,0.100251,0.538488,0.146705,102.7,13.687383,6.7,0.483046,15.354762,2.128921,74.963504,3.339031,0.390111,2.710705,28,91,0.59292,549.8095238,0.75,216.6882308,0
2,2,A1,0-100,2921,3.660401,7,4.183315,2.947392,128,7,0.285772,0.208456,16.938225,11.129849,0.020733,0.004608,0.01634,0.004506,9.806954,13.618104,0.183315,0.073147,0.718305,0.375983,0.782189,0.187467,70.148835,18.821408,13,0.130326,1.05936,0.137529,180.076923,14.35538,7,0,25.725275,2.050769,80.143786,3.399193,0.379527,6.117078,34,133,0.699957,1609.47619,0.75,182.9949934,0
3,3,A1,0-100,3233,4.051378,7,4.630147,3.697004,107,7,0.224749,0.138824,21.113209,17.57945,0.014112,0.005298,0.009567,0.004896,7.725243,6.011707,0.15324,0.081179,0.687869,0.562178,0.983535,0.369813,65.352488,31.235683,10,0.100251,0.97428,0.401003,268.7,86.34305,7,0,38.385714,12.334721,83.111661,3.537249,0.410466,10.347297,26,115,0.694148,2352.47619,0.75,185.3836478,0
4,3,A1,100-200,3490,4.373434,7,4.996778,3.597163,122,7,0.211794,0.116404,19.461163,15.083319,0.016115,0.007634,0.011177,0.004976,7.454572,5.788814,0.174723,0.095433,0.681334,0.425559,0.929543,0.274671,59.238861,37.656264,12,0.120301,0.959173,0.272366,243.666667,59.110579,7.083333,0.288675,34.385417,8.246329,83.782235,3.964451,0.399505,11.445399,30,116,0.538528,2079.269231,0.928571429,192.9318468,0
10,4,A1,100-200,1497,1.87594,7,2.139635,2.011293,60,6,0.122711,0.076933,9.633684,8.967644,0.017569,0.0058,0.014231,0.005417,11.292846,6.136078,0.100251,0.09699,0.73776,0.472007,0.817027,0.299808,28.908043,24.579681,10,0.100251,0.58752,0.237874,76.8,15.411395,7,0.666667,10.951786,1.819055,51.302605,2.299921,0.1883,1.579663,39,101,0.386663,248,0.964285714,158.8262002,0
11,2,A1,100-200,2890,3.621554,7,4.138919,3.015219,106,7,0.330392,0.228895,20.662153,14.428409,0.019555,0.003402,0.014877,0.003176,7.077844,2.741829,0.151808,0.051584,0.445023,0.14471,0.614971,0.227206,69.520533,13.665164,12,0.120301,0.980213,0.199197,187.25,21.054583,7,0,26.75,3.007798,77.750865,3.282908,0.393852,6.368421,41,131,0.71414,1587.333333,0.75,197.2728059,0
12,1,A1,100-200,1415,1.773183,7,2.026495,2.624747,92,6,0.149162,0.081625,11.121934,5.533786,0.015142,0.002225,0.011109,0.002709,6.862582,2.164562,0.153718,0.048148,0.59569,0.167546,0.735332,0.204536,61.991133,29.734424,11,0.110276,0.599345,0.141509,107,6.572671,6.545455,0.522233,16.396104,1.002733,83.180212,3.425161,0.366007,2.807734,32,95,0.581014,550.5238095,0.75,194.1477647,0
13,4,A1,150-250,1507,1.888471,7,2.151092,1.979346,60,6,0.140587,0.08674,10.144464,9.228887,0.018972,0.0067,0.014226,0.005855,15.428809,15.798329,0.100251,0.090559,0.637004,0.319905,0.863152,0.156581,29.996547,25.711226,13,0.130326,0.527009,0.188179,78,14.623041,7.307692,0.480384,10.674451,1.956779,67.285999,2.214185,0.21224,1.67526,27,88,0.432545,249.4444444,0.964285714,204.3187484,0
14,3,A1,150-250,3894,4.879699,7,5.575367,3.650035,131,7,0.231509,0.137407,20.499444,16.493073,0.0165,0.00571,0.011916,0.004601,7.819885,6.527272,0.187612,0.098517,0.577723,0.487996,0.818089,0.313685,58.847911,37.346608,13,0.130326,0.9668,0.266989,250.846154,60.334962,7.076923,0.27735,35.445055,8.501008,83.744222,3.969609,0.397315,12.468672,26,118,0.542761,2291.769231,0.928571429,177.4279764,0
